,YYYY-MM,Peak Demand (MW),Grid
347,2008-6,1089.15,Visayas
348,2009-6,1203.98,Visayas
349,2010-6,1343.61,Visayas
350,2011-6,1399.3400000000001,Visayas
351,2012-6,1448.6999999999998,Visayas
352,2013-6,1554.6800000000003,Visayas
353,2014-6,1635.85,Visayas
354,2015-6,1562.38,Visayas
355,2016-6,1831.487,Visayas
356,2017-6,1935.0,Visayas
357,2018-6,2010.3199999999993,Visayas
358,2019-6,2220.0,Visayas
359,2020-6,2043.566,Visayas
360,2001-7,780.0,Visayas
361,2002-7,803.0,Visayas
362,2003-7,817.0,Visayas
363,2004-7,879.7,Visayas
364,2005-7,931.0,Visayas
365,2006-7,976.98,Visayas
366,2007-7,1089.522153846154,Visayas
367,2008-7,1105.42,Visayas
368,2009-7,1200.559,Visayas
369,2010-7,1323.156,Visayas
370,2011-7,1398.27,Visayas
371,2012-7,1439.95,Visayas
372,2013-7,1542.77,Visayas
373,2014-7,1510.6100000000001,Visayas
374,2015-7,1583.7799999999997,Visayas
375,2016-7,1818.7099999999998,Visayas
376,2017-7,1869.0,Visayas
377,2018-7,1971.7200000000003,Visayas
378,2019-7,2129.0,Visayas
379,2020-7,1955.67,Visayas
380,2001-8,778.0,Visayas
381,2002-8,793.0,Visayas
382,2003-8,832.0,Visayas
383,2004-8,888.7,Visayas
384,2005-8,919.0,Visayas
385,2006-8,950.68,Visayas
386,2007-8,1099.82,Visayas
387,2008-8,1126.817,Visayas
388,2009-8,1214.07,Visayas
389,2010-8,1309.98,Visayas
390,2011-8,1414.98,Visayas
391,2012-8,1480.1,Visayas
392,2013-8,1206.66,Visayas
393,2014-8,1579.1299999999997,Visayas
394,2015-8,1596.0100000000002,Visayas
395,2016-8,1825.1170000000002,Visayas
396,2017-8,1965.0,Visayas
397,2018-8,2015.2000000000003,Visayas
398,2019-8,2148.0,Visayas
399,2020-8,2079.665,Visayas
400,2001-9,826.0,Visayas
401,2002-9,790.0,Visayas
402,2003-9,834.0,Visayas
403,2004-9,893.8,Visayas
404,2005-9,910.98,Visayas
405,2006-9,975.86,Visayas
406,2007-9,1093.71,Visayas
407,2008-9,1127.82,Visayas
408,2009-9,1206.14,Visayas
409,2010-9,1341.1470000000002,Visayas
410,2011-9,1413.72,Visayas
411,2012-9,1456.23,Visayas
412,2013-9,1547.1599999999996,Visayas
413,2014-9,1528.2300000000002,Visayas
414,2015-9,1624.94,Visayas
415,2016-9,1816.754,Visayas
416,2017-9,1936.0,Visayas
417,2018-9,1954.3400000000001,Visayas
418,2019-9,2164.0,Visayas
419,2020-9,2098.1,Visayas
420,2001-10,798.0,Visayas
421,2002-10,780.0,Visayas
422,2003-10,857.0,Visayas
423,2004-10,904.0,Visayas
424,2005-10,917.03,Visayas
425,2006-10,967.49,Visayas
426,2007-10,1087.92,Visayas
427,2008-10,1174.33,Visayas
428,2009-10,1215.124,Visayas
429,2010-10,1332.75,Visayas
430,2011-10,1434.6299999999999,Visayas
431,2012-10,1488.9,Visayas
432,2013-10,1520.0299999999997,Visayas
433,2014-10,1517.39,Visayas
434,2015-10,1705.1000000000001,Visayas
435,2016-10,1823.25,Visayas
436,2017-10,1953.0,Visayas
437,2018-10,2026.4299999999998,Visayas
438,2019-10,2224.0,Visayas
439,2020-10,2032.3,Visayas
440,2001-11,799.0,Visayas
441,2002-11,790.0,Visayas
442,2003-11,897.0,Visayas
443,2004-11,951.5,Visayas
444,2005-11,943.28,Visayas
445,2006-11,984.11,Visayas
446,2007-11,1100.71,Visayas
447,2008-11,1176.14,Visayas
448,2009-11,1241.09,Visayas
449,2010-11,1401.74,Visayas
450,2011-11,1461.64,Visayas
451,2012-11,1502.28,Visayas
452,2013-11,1517.94,Visayas
453,2014-11,1609.5900000000001,Visayas
454,2015-11,1768.2900000000002,Visayas
455,2016-11,1838.3999999999999,Visayas
456,2017-11,1975.0,Visayas
457,2018-11,1979.5800000000004,Visayas
458,2019-11,2168.0,Visayas
459,2020-11,2043.2,Visayas
460,2001-12,813.0,Visayas
461,2002-12,842.0,Visayas
462,2003-12,924.0,Visayas
463,2004-12,954.59,Visayas
464,2005-12,966.82,Visayas
465,2006-12,996.71,Visayas
466,2007-12,1102.49,Visayas
467,2008-12,1165.43,Visayas
468,2009-12,1230.74,Visayas
469,2010-12,1431.14,Visayas
470,2011-12,1481.14,Visayas
471,2012-12,1551.049,Visayas
472,2013-12,1349.9299999999998,Visayas
473,2014-12,1525.61,Visayas
474,2015-12,1727.1499999999999,Visayas
475,2016-12,1858.7039999999997,Visayas
476,2017-12,1957.0,Visayas
477,2018-12,2019.5299999269996,Visayas
478,2019-12,2151.0,Visayas
479,2020-12,2026.526,Visayas
480,2001-1,887.0,Mindanao
481,2002-1,911.0,Mindanao
482,2003-1,946.0,Mindanao
483,2004-1,1057.9,Mindanao
484,2005-1,1081.62,Mindanao
485,2006-1,1061.5,Mindanao
486,2007-1,1108.0,Mindanao
487,2008-1,1158.26,Mindanao
488,2009-1,1142.91,Mindanao
489,2010-1,1240.2,Mindanao
490,2011-1,1250.2,Mindanao
491,2012-1,1270.0,Mindanao
492,2013-1,1284.1370000000002,Mindanao
493,2014-1,1353.582,Mindanao
494,2015-1,1386.4999999999995,Mindanao
495,2016-1,1496.819,Mindanao
496,2017-1,1589.0,Mindanao
497,2018-1,1664.6740000000002,Mindanao
498,2019-1,1775.0,Mindanao
499,2020-1,1960.019,Mindanao
500,2001-2,900.0,Mindanao
501,2002-2,913.0,Mindanao
502,2003-2,918.0,Mindanao
503,2004-2,1043.5,Mindanao
504,2005-2,1081.94,Mindanao
505,2006-2,1077.1,Mindanao
506,2007-2,1141.0,Mindanao
507,2008-2,1146.37,Mindanao
508,2009-2,1162.89,Mindanao
509,2010-2,1179.9,Mindanao
510,2011-2,1231.3,Mindanao
511,2012-2,1191.0,Mindanao
512,2013-2,1244.0099999999998,Mindanao
513,2014-2,1350.936,Mindanao
514,2015-2,1380.24,Mindanao
515,2016-2,1471.643,Mindanao
516,2017-2,1613.0,Mindanao
517,2018-2,1704.147,Mindanao
518,2019-2,1726.0,Mindanao
519,2020-2,1977.51,Mindanao
520,2001-3,903.0,Mindanao
521,2002-3,900.0,Mindanao
522,2003-3,978.0,Mindanao
523,2004-3,1026.6,Mindanao
524,2005-3,1082.0,Mindanao
525,2006-3,1088.21,Mindanao
526,2007-3,1177.0,Mindanao
527,2008-3,1162.21,Mindanao
528,2009-3,1157.5,Mindanao
529,2010-3,1026.4,Mindanao
530,2011-3,1219.18,Mindanao
531,2012-3,1244.0,Mindanao
532,2013-3,1245.022,Mindanao
533,2014-3,1344.1290000000001,Mindanao
534,2015-3,1370.084,Mindanao
535,2016-3,1484.526,Mindanao
536,2017-3,1633.0,Mindanao
537,2018-3,1729.0040000000001,Mindanao
538,2019-3,1817.0,Mindanao
539,2020-3,1953.304,Mindanao
540,2001-4,887.0,Mindanao
541,2002-4,927.0,Mindanao
542,2003-4,985.0,Mindanao
543,2004-4,1050.9,Mindanao
544,2005-4,1087.0,Mindanao
545,2006-4,1090.1,Mindanao
546,2007-4,1167.0,Mindanao
547,2008-4,1190.46,Mindanao
548,2009-4,1185.6,Mindanao
549,2010-4,1008.5,Mindanao
550,2011-4,1253.34,Mindanao
551,2012-4,1232.0,Mindanao
552,2013-4,1226.0460000000003,Mindanao
553,2014-4,1309.7060000000001,Mindanao
554,2015-4,1405.502,Mindanao
555,2016-4,1513.8059999999998,Mindanao
556,2017-4,1697.0,Mindanao
557,2018-4,1780.879,Mindanao
558,2019-4,1892.0,Mindanao
559,2020-4,1673.428,Mindanao
560,2001-5,901.0,Mindanao
561,2002-5,920.0,Mindanao
562,2003-5,1001.0,Mindanao
563,2004-5,1098.8,Mindanao
564,2005-5,1055.0,Mindanao
565,2006-5,1117.8,Mindanao
566,2007-5,1109.0,Mindanao
567,2008-5,1159.18,Mindanao
568,2009-5,1194.0,Mindanao
569,2010-5,1210.7,Mindanao
570,2011-5,1252.7,Mindanao
571,2012-5,1301.0,Mindanao
572,2013-5,1365.72,Mindanao
573,2014-5,1339.462,Mindanao
574,2015-5,1438.0829999999996,Mindanao
575,2016-5,1590.0790000000002,Mindanao
576,2017-5,1692.0,Mindanao
577,2018-5,1847.294,Mindanao
578,2019-5,2013.0,Mindanao
579,2020-5,1798.166,Mindanao
580,2001-6,897.0,Mindanao
581,2002-6,931.0,Mindanao
582,2003-6,1021.0,Mindanao
583,2004-6,1034.59,Mindanao
584,2005-6,1072.0,Mindanao
585,2006-6,1100.3,Mindanao
586,2007-6,1145.0,Mindanao
587,2008-6,1187.66,Mindanao
588,2009-6,1220.0,Mindanao
589,2010-6,1238.1,Mindanao
590,2011-6,1264.25,Mindanao
591,2012-6,1309.0,Mindanao
592,2013-6,1364.2779999999998,Mindanao
593,2014-6,1415.7859999999998,Mindanao
594,2015-6,1434.991,Mindanao
595,2016-6,1584.8809999999999,Mindanao
596,2017-6,1675.0,Mindanao
597,2018-6,1741.0080000000003,Mindanao
598,2019-6,2001.0,Mindanao
599,2020-6,1907.407,Mindanao
600,2001-7,894.0,Mindanao
601,2002-7,924.0,Mindanao
602,2003-7,976.0,Mindanao
603,2004-7,1024.57,Mindanao
604,2005-7,1045.0,Mindanao
605,2006-7,1092.6,Mindanao
606,2007-7,1141.0,Mindanao
607,2008-7,1163.44,Mindanao
608,2009-7,1198.0,Mindanao
609,2010-7,1213.6,Mindanao
610,2011-7,1297.74,Mindanao
611,2012-7,1289.0,Mindanao
612,2013-7,1383.52,Mindanao
613,2014-7,1390.206,Mindanao
614,2015-7,1397.3719999999996,Mindanao
615,2016-7,1535.5780000000002,Mindanao
616,2017-7,1624.0,Mindanao
617,2018-7,1761.858,Mindanao
618,2019-7,1943.0,Mindanao
619,2020-7,1867.284,Mindanao
620,2001-8,926.0,Mindanao
621,2002-8,941.0,Mindanao
622,2003-8,980.0,Mindanao
623,2004-8,1086.45,Mindanao
624,2005-8,1061.0,Mindanao
625,2006-8,1119.0,Mindanao
626,2007-8,1141.0,Mindanao
627,2008-8,1147.4,Mindanao
628,2009-8,1208.4,Mindanao
629,2010-8,1221.4,Mindanao
630,2011-8,1289.5,Mindanao
631,2012-8,1306.0,Mindanao
632,2013-8,1326.3,Mindanao
633,2014-8,1386.0079999999998,Mindanao
634,2015-8,1445.9579999999999,Mindanao
635,2016-8,1582.243,Mindanao
636,2017-8,1705.0,Mindanao
637,2018-8,1821.0130000000001,Mindanao
638,2019-8,1977.0,Mindanao
639,2020-8,1911.366,Mindanao
640,2001-9,947.0,Mindanao
641,2002-9,927.0,Mindanao
642,2003-9,995.0,Mindanao
643,2004-9,1102.1,Mindanao
644,2005-9,1078.0,Mindanao
645,2006-9,1090.0,Mindanao
646,2007-9,1203.0,Mindanao
647,2008-9,1162.64,Mindanao
648,2009-9,1217.0,Mindanao
649,2010-9,1234.75,Mindanao
650,2011-9,1287.67,Mindanao
651,2012-9,1268.0,Mindanao
652,2013-9,1256.4099999999999,Mindanao
653,2014-9,1390.8999999999999,Mindanao
654,2015-9,1452.987,Mindanao
655,2016-9,1592.186,Mindanao
656,2017-9,1708.0,Mindanao
657,2018-9,1794.0899999999997,Mindanao
658,2019-9,1960.0,Mindanao
659,2020-9,1944.0,Mindanao
660,2001-10,954.0,Mindanao
661,2002-10,950.0,Mindanao
662,2003-10,1019.0,Mindanao
663,2004-10,1133.6,Mindanao
664,2005-10,1122.0,Mindanao
665,2006-10,1130.0,Mindanao
666,2007-10,1193.0,Mindanao
667,2008-10,1155.69,Mindanao
668,2009-10,1291.66,Mindanao
669,2010-10,1262.65,Mindanao
670,2011-10,1289.7,Mindanao
671,2012-10,1319.0,Mindanao
672,2013-10,1218.8229999999999,Mindanao
673,2014-10,1441.252,Mindanao
674,2015-10,1506.7319999999997,Mindanao
675,2016-10,1644.843,Mindanao
676,2017-10,1699.0,Mindanao
677,2018-10,1835.0639999999999,Mindanao
678,2019-10,1987.0,Mindanao
679,2020-10,1896.04,Mindanao
680,2001-11,938.0,Mindanao
681,2002-11,965.0,Mindanao
682,2003-11,1051.0,Mindanao
683,2004-11,1154.59,Mindanao
684,2005-11,1149.0,Mindanao
685,2006-11,1147.0,Mindanao
686,2007-11,1157.51,Mindanao
687,2008-11,1203.71,Mindanao
688,2009-11,1303.2,Mindanao
689,2010-11,1286.27,Mindanao
690,2011-11,1325.9,Mindanao
691,2012-11,1321.0,Mindanao
692,2013-11,1396.737,Mindanao
693,2014-11,1469.0209999999997,Mindanao
694,2015-11,1517.2949999999996,Mindanao
695,2016-11,1642.2529999999997,Mindanao
696,2017-11,1726.0,Mindanao
697,2018-11,1833.1280000000002,Mindanao
698,2019-11,1995.0,Mindanao
699,2020-11,1961.0,Mindanao
700,2001-12,933.0,Mindanao
701,2002-12,995.0,Mindanao
702,2003-12,1131.0,Mindanao
703,2004-12,1177.3,Mindanao
704,2005-12,1105.0,Mindanao
705,2006-12,1228.0,Mindanao
706,2007-12,1241.43,Mindanao
707,2008-12,1174.74,Mindanao
708,2009-12,1281.75,Mindanao
709,2010-12,1287.78,Mindanao
710,2011-12,1346.24,Mindanao
711,2012-12,1318.0,Mindanao
712,2013-12,1427.755,Mindanao
713,2014-12,1453.0430000000003,Mindanao
714,2015-12,1509.842,Mindanao
715,2016-12,1653.2089999999998,Mindanao
716,2017-12,1760.0,Mindanao
717,2018-12,1853.2140000000002,Mindanao
718,2019-12,1992.0,Mindanao
719,2020-12,1931.0,Mindanao
